,Label,ID,Texte
22,,997960448459923456,"Les fils de chien qui étaient de ton avis lors d'un débat sur un chat d'un live et qui se foutent de ta gueule et et qui sucent les modos quand tu te fais TO sans aucune raison valable, allez vous faire génocider votre race de gros fils d'inceste par un néo nazi serbe."
23,,3,"Regarde toi sale pédale fragile, mm si tu voulais faire croire que tt hétéro ça marcherait pas grosse gouine, nique t morts."
24,H,998497334550986754,@SunlesSONFIRE Tu fais pas peur malgré ton âge sale pd crois pas tu me fais peur hein toi et tes potes les bendeurs qui débarquent dans tous mes tweets
25,N,998470237480767488,"@JeremyKujo @Klydevil l’italie est un pays assez raciste, je suis d’origine italienne et je suis souvent allée là-bas, franchement quand t’entends « c’est con, on peut plus manger de poisson à cause des cadavres noirs qu’ils jettent dans l’eau, ça leur donne des maladies » y’a pas vraiment de doutes"
26,N,997806247385722880,"#Premium #France 386 Reviews: Apple Iphone  Smartphone Débloqué Ecran Pouces Rose for EUR 202,20. Best Sale Ranking on Amazon! [https://t.co/x0mCrccwlf] https://t.co/VC99WyVVrd"
27,N,997858234303238144,"Eue... D'abord il a pas vraiment 16 ans, ensuite l'association allemand=nazis on en a plein le cul et pour terminer celui qui a l'air le plus violent c'est peut être celui qui a en tatouage une arme... https://t.co/4xYjwIBU48"
28,N,998470341629562880,"«Français de m**de», «ramasseurs de coton», «sale arabe»: voici une petite sélection des insultes proférées à Ajaccio à l'encontre des footballeurs de l'équipe du Havre.
""MON INDIGNATION EST TOTALE""
C'EST HONTEUX DE VOIR CELA EN 2018...!! https://t.co/ThTVYwuWlN"
29,H,997801835221127168,J’en ai vrmt marre que mon frère SE FOUT DE MA PTN DE GUEULE . Il assume pas ses propos et il vient vers moi en rejetant la faute parce que « TU SAIS JAMAIS CE QUE TU DIT ET MOI JE SAIS PARFAITEMENT CE QUE JE DIT » va te faire ptn de foutre sale connard
30,,4,Que des gueules de macaque ! Il faudrait les stériliser parce que les femmes mettent bas très vite chez eux.
31,N,998168487561515008,"@Elisabeth_FR_ @abdelmalik92 faut dire aussi qu'avec la Maine y'a pas trop d'espace pour la nouveauté..être raciste c encore une valeur sûre pour elle et son parti du genre...tant qu'il y aura d gens qui lui ressemblent pas...vu qu'on est tous différents...ça peut durer !
enfin pr elle...le monde avance!OUF!"
32,H,998250947993317376,"@GuillaumeG75 @BFMSportTV C est le correcteur du tél (argent sale)
Oh il s énerve la petite racaille de parisienne 🤣
Embrasse ta maman pour moi"
33,N,998126951356424194,@polettifrederic @MarcelluG @AgnsRogliano @04c1d614db84401 Je vous remercie Monsieur de penser que je suis silencieuse face au racisme J’apprecie votre maniere subtile de m’insulter C’est vraiment tres agreable
34,N,997832478214754305,"@Matteuzzo13 @Rien_a_footre @Arizona_Dream57 @FrankMcCourtoff Gros le clapping c’était la communion avec les joueurs, d’autres trucs ont été organisés entre supporters à côté sois pas con et réfléchis sale sardine"
35,N,997802158249660416,"@LepetitOrizon @DamienRieu Et ? Aucune phobie qui est irraisonnée et irrationnelle, ce mot arnaque ne prend plus. On peut ne pas aimer l'islam sans que le mot ""phobie"" soit rajouté. Quand au mot ""racisme"", il ne peut s'appliquer dès lors où il y a des français non issus de la diversité qui sont musulmans."
36,N,998107716676739072,"Je découvre ceci (attention, certains commentaires qui suivent suintent le racisme). Tout comme la France ac la traite négrière et la colonisation, l'Allemagne ac le nazisme, être responsable du passé ne veut pas dire être coupable. Je ne suis pas mes aïeux #histoire #resilience https://t.co/HvjfitJgjh"
37,N,997934804246106118,@HabibBuzzDay_94 Le problème c'est que si ca avait été le contraire on aurait droit à Ouî Cest raciste etc Apres je sais pas si cest vexant d'être moque par un gros tas àu dents en toc ou un énergumène au cheveux verts pour faire ca il faur Vraiment avoir un problème de confiance en soi ca permet
38,,997851438641483777,"@Tenosu @incarnangel @askolovitchC Cette personne affiche de façon ostensible une marque à la fois d'Islam radical et d'asservissement de la femme
Et qu'on ne me parle pas de racisme ici"
39,N,12,"#UnGayMort ça va encore faire une polémique, si c'était #UnArabeMort ça passerai pour de l'humour ou de la liberté d'expression."
40,,33,"Emeute chinoise à Paris. Voitures brûlées, attaque de commissariat … La sino-racaille est égale à la racaille africano-arabe. Immigration stop!"
41,N,997953739955851266,"@nagou_san Du coup soit c'est ""raciste"", soit c'est ""pas raciste"", mais ça peut pas être ""un peu"", vu que tirer à l'arme à feu, même s'il y a tire de sommation en premier lieu, c'est quand même un peu hardcore en 2018. Et vu que lui même admet le côté raciste de la motivation..."
42,N,998561274152849408,"@Melusine_2 @canalguada @MadameLaLettre 😂😂😂 C'est vrai que c'est pratique qd même pour simplifier le débat sur la #laïcité de déplacer la controverse juridique sur une position binaire morale :
D'accord avec moi = pas raciste
Pas d'accord avec moi = raciste"
43,N,997813829709987841,"@PhildjackLamare @davidperrotin @Le_GrandR Oui c'est vrai que c'est terrible le racisme chez les blancs et gérants de grands restaurants
Faut vrmt se méfier de ces gens-là en effet 🙂"
44,N,997866288323219456,@Bob_lePlombier @Caroline76966 @Ex_Panthera @Yaannoou @dali89z @RebelHelene @HenriTudors @Patosoleil @_JeanDorsans_ @Maraine_Lapine @alexiscorbiere @FredTolosa31 Même réponse à tous les nazi de ton espèce https://t.co/PjezkIdWwE
45,N,998353307101007872,"@raphaelStn un truc c’est que vous parlez de racisme mais tu étais au match ce soir ? Non , j’étais dans La Tribune et aucun cris de singe a été entendu"
46,N,998511772394033152,Merci Mr. @GWGoldnadel la seule grande gueule qui n'a pas peur de relever ces sujets qui font qu'il va s'en prendre plein la gueule. Une voix pour les incompris que nous sommes... https://t.co/FcD0gRnLXL
47,N,998281884210814977,"@Enthoven_R @MarylinMaeso Toujours est-il que le débat est ouvert.
Et le débat dépasse de loin la seule personne de mme Poujetoux. Penser qu'il s'agit d'elle seulement en cédant à la plainte déchirante des tenants de la théorie du racisme systémique me semble absurde et lâche."
48,N,998478310719008768,"#Premium #France 386 Reviews: Apple Iphone  Smartphone Débloqué Ecran Pouces Rose for EUR 244,00. Best Sale Ranking on Amazon! [https://t.co/E7L8cxK8Fh] https://t.co/W0fFW12WaX"
49,N,997889049816911872,"PTDR le tournoi c'était un délire XDDD
C'était déjà très dur à gérer , @ColmanLegrand mettait de la musique nazi ou jsp quoi en fond , certains abo ont déconnectés mais au fond , c'est des bails comme ça que je kiff , tu t'amuses et tu joues pas en 1v1 fast sans utilité personnel"
50,N,998104262407262208,"@Mkanabaraka269 @yamasou_y @anisweety_Iconi Mdrrrr mon frère je suis d'origine De Fes et je peux t'assurer qu'il n'y a pas de racisme courant, ma tante est marié à un noir et encore plein de gens que je connaisse, désolé mais je te permets pas de rabaisser mon pays en le traitent de raciste"
51,N,998534259093704706,"Nous attendons les donneurs de leçons, mais il semble bien que ce soit le #silence??!!!
Nous donnons des leçons à l'Italie, la Pologne etc ... et là 🤐 https://t.co/9Uljcs6U9Y"
52,N,997820895405146113,"@IlfautlirelesEn Wesh les oiseau c'est les dino qui en avait marre de se faire bolloss par des raton laveur titanesque ,et qui ont décidé de se faire tout petit"
53,N,998103690354585600,@Mkanabaraka269 @yamasou_y @anisweety_Iconi L'heure pour regarder ta peau ?  Écoute p'tet que tu ne mens pas mais en tout au Maroc les noirs sont en paix avec les rebeu(en général)  puisk même nous on a des noirs du Sahara donc on est habituer à cohabiter sans racisme
54,N,998225405705375744,"""Français de m… de"", ""négros"", ""sale arabe"" : le bus transportant les footballeurs du HAC pris à partie par des supporters corses https://t.co/jlC25fMaZa via @franceinfo"
55,,997976280833384448,"Cardi B ses darons sont White as fuck mais ici ça l’a Drag pcq elle n’affirme pas sa négritude qu’elle tient de ses arrières arrière grand parents wsh. Les noirs avec leur complexe d’infériorité, flm tjs à vouloir obliger autrui à affirmer une identité dont They don’t give a shit"
56,N,997934509755650049,"Ooooh trop choupinou le titre de l’article. Les a-t-il « un peu blessés » ? « Un peu tués »? Sont-ils donc « un peu morts » ou encore « trop vivants » ? 
Changez rien @20Minutes tout va très bien https://t.co/C9QXqCWeSw"
57,N,998500470946705408,"#Premium #France 386 Reviews: Apple Iphone  32go Smartphone Débloqué Gris Sidéral Reconditionné. Details: Le produit bénéfice d'une garantie d'un an minimum, et peut .. Best Sale Ranking on Amazon! [https://t.co/HlFUpEhugJ] https://t.co/9OSVh1OEPi"
58,N,998293124794417152,"[ #prose #poésie ]

Exquis sacrifice
Exquis mais sale justice des hommes
Seuls les valeureux se reconnaissent entre eux en somme
L'un d'entre eux sera précurseur du changement
Et il parviendra en évitant l'écoulement de tout sang"
59,,998542664155967488,"@MathieuHanotin @gerardcollomb Député de Seine Saint Denis, je commence à comprendre pourquoi mon département est autant envahi et dangereux pour nous Français. Sale collabo, petite pute soumise aux envahisseurs."
60,,998175423895932929,"@RMCsport C'est pas grave président, les marseillais sont fidèles à eux mêmes. Ils cassent ils salissent partout où ils passent comme leur ville est très sale et degueulasse et à la fin ils se font casser le cul comme d'habitude 🤣😂🤣😂allez l'OL et hala Madrid"
61,N,997960403283038208,"@DimitriRahmelow J'aurais voulu te rendre la pareille, mais  je te rends Saint-Symphorien en sale état. Travaux à prévoir, à tous les étages."
62,H,997836326358732800,"@JeanDutarin Sans travail migrant ou pas, on devient marginale et on pressente un danger pour soi même et pour la sociétés. c normal que les pays aient des programme de réinsertion. Vous n'êtes qu'un raciste aigri. Le monde ne vous appartient pas. Dégage sale raciste. #racisme"
63,N,998474490567839744,"@fareshas59500 @La_Grinta_ @ohdamnhutch @BuzzFeedNewsFR @OM_Officiel Accusé du mot valise ""racisme"" par un courageux anonyme qui agrémente son tweet d'émoticones orduriers. Exemple du compte qui déshonore les réseaux sociaux."
64,N,998341506489634816,"Le problème de l'opposition vénézuélienne est qu'elle est raciste: elle n'aime pas les Noirs, les pauvres, les sans dents, et arrêtez vous de compter....mon dieu..¡¡¡"
65,N,998515217159081984,"@EricLejoindre Monsieur le maire, je me permets de vous écrire pour vous signaler l’état inacceptable des rues autour de la rue Norvins. Faites quelque chose et vite, cela n’a jamais été aussi sale. #Paris18 #Déchets #Poubelles"
66,N,997855242191540226,"@35Minouche @guycrete Judaïsme versus Islamisme  devrait être l’https://t.co/aX5FjDpH7N pour justifier votre acceptation du terrorisme islamique est d’amalgamer le nazisme, vous faites erreur; le racisme hitlérien promulgue l’antisémitisme. Les juifs ont été victimes des allemands et non le contraire."
67,N,998232774313218048,C'est @MalekBoutih qui parle avec rage quand il cite la gauche et les militants de quartiers CAR il a été rejetés par ces derniers. L'époque de la maison des potes et de SOS racisme est bien loin derrière lui. Il espère que Valls lui fera obtenir un poste quitte a devenir raciste https://t.co/9oRe1AMfyI
68,H,998353135285559297,"@DiiaraGalsen Bon j’abandonne !
Je pense k comme on dit plus on est nourri par de l’argent sale plus on est bête et conne .
Allez Dieu nous départira et Lui il est juste .
Sachez juste que je ne retire aucuns des mots que je balançais et je le répéterais jusqu’à la fin du monde"
69,N,997923307306541056,"@GilbertCollard Herrou, héro de l’humanité, qui vit les idéaux humanitaire de cette France qui s’est perdue dans le racisme sans nom, monte des marches et les fachos font une apoplexie.
There. Fixed it for you."
70,N,998560934942707713,"#Premium #France 386 Reviews: Apple Iphone 32go Smartphone  Débloqué Gris Sidéral Reconditionné. Details: Le produit bénéfice d'une garantie d'un an minimum, et peut .. Best Sale Ranking on Amazon! [https://t.co/fYfqkfrKz0] https://t.co/1DxG2Vfw0f"
71,H,998285566100824070,"@lachainelequipe Il fou la merde partout ce https://t.co/rb2gqsZGFd envenime les choses et apres il a peur...qu il degage il est honteux,médiocre sale type"
72,N,998206663046856704,@WowBeva J’suis le gars le moins raciste de la planète mdrrr quand c’est ton humoriste préféré qui fait des vannes sur des peuples 🤷🏻‍♂️🤷🏻‍♂️ on est en 2018 hein
73,,21,"Ya pas d'ouverture d'esprit ou d'ouverture de cul, un arabe avec une arabe. Jamais une meuf de ma famille ne se mettra avec un noir, je prefere la tuer et aller en taule que de la laisser salir notre honneur, une meuf rebeu avec un noir cest une beurette a khel"
74,N,997877349801779201,Hier j’étais en sport (course en durée) et le synthétique est à côté d’une route. Y’a un camion qui passe et le mec il crie « cours sale grosse ». Merci du conseil connard
75,N,998383902757617665,@Leboulonnais1 @La_Grinta_ @ohdamnhutch @BuzzFeedNewsFR @OM_Officiel On peut etre fan du real et habiter en poitou-charentes        On peut habiter a lille et etre fan du bayern mais on ne peut pas etre intelligent et etre raciste comme vous 🤢🤮🤮🤮💩
76,N,998266284650483713,Les commentaires je ne comprends pas la? C’est une histoire vécue vous dites qu’elle ment? Je comprends que ça ne donne pas une bonne image mais c’est la réalité pour certains 🤷🏾‍♀️ https://t.co/5Efn0OVR1Y
77,,998277910585802752,Y’en a marre de laisser ces fils p*** de lache de terroristes judaïste nazi. Le monde les regarde et les laisse mourrir sans que personne réagisse. #honte aux gouvernements du monde https://t.co/QaUl2uEHoj
78,H,998323482734800896,C’est drôle le nombre de perso qui essaient de te faire taire . La vérité fait tjrs mal et si ça ne l’était ils ne seraient pas aussi révolté déjà Hummm vous voulez qu’on parle de l’esclavage  moderne! vous brûlez les gens à l’acide et puis vous venez parlé ici 😤 bz vos morts ! https://t.co/MDgiVZl4V8
79,N,998134745669226496,"Nous écoutons Therapie TAXI - Hit Sale sur #hitsmixsradio

Liens vers écoute: https://t.co/KhTP3l5DGW

Liens vers notre site: https://t.co/2wSALod24V"
80,H,998251810103193610,@Chouker @jeru_saleem Ta cru la puissance militaire turc cétait le Zimbabwe sale chien qui te dit que je soutien erdogan tu me sort des articles en disant que erdogan laisse passer les produit chimique  je te demande les source tu me donne des lien darticle qui ne parle même pas de la Turqui clochard
81,N,998285528486248448,"@VladvnxOP @DiegDiegDieg @RogirayakonNard Mais wtf je suis loin d’être raciste hahaha . Nelson ne ferait rien du tout , il était bien assez intelligent pour faire la différence entre vrais racistes et amis qui rigolent entre eux sur Twitter"
82,N,998255682158845954,@CiPiAu @MohamedLOUIZI @UNEF @celine_pina La base c'est de ne pas prétendre avoir des versets inexistants pour construire son idéologie raciste et haineuse.
83,N,998145264274890752,"@Daarjeeling @NicoBISPUTHE Malek Boutih y va fort , mais il a raison : alimenter une haine permanente de l'autre peut conduire aux pires atrocités en déculpabilisant les criminels qui les commettent , exemples : nationalisme , racisme , haine sociale ..."
84,N,997896793819176961,"....Ma ville , insupportable, visage de la haine et présents depuis toujours , lié au climat actuelle. Résistance comme notre jolie musée  . https://t.co/R5U9hpVhIc"
85,N,997874423326740481,@DiffuseurQ Un CGT m'a dit avoir vu à Lyon deux personnes le 1er mai du GUD ou GUDE mouvement d'extrême droite nazi. Je lui ai demandé décrire son témoignage au délégué départemental du Rhône. On verra. C'était aujourd'hui. Françoise UPR
86,N,997799345671032832,"@PascalBoniface nous le dénonçons ici en vain. Or il n'y a pire abjection, et parfois #racisme, que l'indignation à double-standard où d'aucuns sont plus égaux que d'autres.
@bfmtv @lci @franceinfo @cnews @LeMediaTV @libe @lobs @lemondefr @franceinter @manuelvalls @printempsrepub https://t.co/Vrzpmzw6pB"
87,N,997862420717670402,#Premium #France 292 Reviews: Apple  Iphone Smartphone Débloqué Ecran Pouces Gris Sidéral for EUR 349. Best Sale Ranking on Amazon! [https://t.co/tEHot22ShC] https://t.co/p4WGFHaTRD
88,N,997949254520983559,@BabacarElegance Je veut pas dire mais quand on parle de Lyon en Europe on parle d'un club supporté par des raciste et des partisans nazis 🤗. Je dis juste les fais après ta rancœur t'empêche d'être objectifs...
89,H,997908006863032322,@Ftg_rtz O ba oui c’est le ramadan fais attention à toi sale pd et ça t’éduquer sur les choses que tu coco pas Pendant que certains sont en L d’autres savent pas écrire et sont au chômage on se revoit quand tu bosseras au mcdo enculé
90,N,998138482596962304,Coucou @NetflixFR il n'y a pas quelqu'un qui peut lui dire que cette image est tiré d'une série de chez vous? #fakenews 😂 https://t.co/g6yMGcRoMC
91,N,998530596132581377,"perso si un inconnu me balance un ""negro"" comme ça forcément je vais mal le prendre mais empêcher un type de chanter une chanson où il y a le mot ""nigga"" dedans c’est complètement con"
92,H,997971655040405504,"Ce fils de pute va nous priver d'une dernière entre iniesta et messi et du fait que ce dernier puisse enfin jouer sans pression mais parcontre le reposer sur la saison il l'a jamais envisagé, dégage de notre Club sale coach en bois https://t.co/Z6bIbACBNz"
93,N,998451120174452736,@valerieboyer13 Parmi  Supplétifs du crif il y a des idiots utiles du sionisme qui ne manquent pas d imagination ... à chacun sa part de naïveté ou de soumission ...à chacun sa terre médiatique  promise !  L Islamophobie est le  racisme déguisé sous couvert de lutte contre le terrorisme ...
94,N,998225066755284992,Euh pouce ? Il est « nazi » parce que y’a marqué polizei sur son brassard ? Ce qui veut simplement dire « police » donc avec la France de vichy si on voit un brassard avec « police » inscris dessus nos policiers sont nazis aussi? Dans cette logique bien sûr. https://t.co/2ELBbx34Sj
95,N,998307633382686720,"Rokhaya Diallo et consors qui se sentent menacés par les fascistes du Printemps Républicain. 
Et cet Etat raciste qui n expulse pas ces Français souchiens vivant clandestinement en France et ayant le toupet de les critiquer ! https://t.co/96vsBpgRim"
96,N,998334161529208841,"Bon anniversaire sale bg va j’espère que tu continueras d’être une sale frappe encore longtemps — Mdrr jsuis une frappe pas cadrée qui part dans les tribunes 
Merci! https://t.co/gQLxIDPK36"
97,H,998270879774773248,@etoiles2459 @ffrancepack PAUVRE CONNASSE DEGAGE JE VAIS TE FAIRE SIGNALER PAR TOUS MES AMIS TOI CHRETIENNE ?? MES COUILLES OUI TU NE VAUX PAS MIEUX QU UNE MERDE SALE GARCE
98,N,998160454194167808,"@maitregasmi @davidperrotin ATTENTION RESTAURANT RACISTE.
BE CARREFUL A RACISTIC RESTAURANT.

DON'T GIVE YOUR MONEY TO RACISTS !!!!!

Si vous cherchez un RESTAURANT RACISTE où vous n'aurez pas un ARABE même du Golfe, alors vous pouvez y aller.

It is a typical FRENCH RACISTIC RESTAURANT"
99,N,998232745968111617,"#Premium #France 4.1 Stars, 111 Reviews: Samsung Galaxy Smartphone  Débloqué Import Allemagne Ecran Pouces for EUR 407,38. Best Sale Ranking on Amazon! [https://t.co/JmNHuygjVH] https://t.co/qNaB3K0npL"
100,N,997908422472413186,@nalibn @Soxmoo Taux de chômage record a cause des vilains blanc colonisateurs je sais 😉 Je reste persuadé que la colonisation a apporté plus de bon que de mal donc je n'ai pas de remords comme 90% des babtou fragiles qui vont s'excuser de vous avoir colonisés.
101,N,998292715153641473,"@Azifwe @Maphisto1825 @Andrea_Payn_Art Excusez moi mais j'interprète rien du tout. Dans son précédent tweet, il dit ""tu te bases sur des cas tout à fait marginaux"". De plus, le problème ici n'est pas que tout le monde peut être raciste mais plutôt que tout le monde peut en être victime"
102,N,998040409535369226,"Raison de plus pr que Meek participe au debat sur la reforme de justice
Et d'où t'as lu que jayz a debourse des millions pr liberer meek?
Dis plutot que tu ne veux pas que les choses changent pr continuer de jubiler coe un con ""DT est racist"": ce sont les noirs qui en souffriront https://t.co/tXaNGAE4rR"
103,N,997972253231976448,"@Dope_Lemon1 @MarkTheUgly @berbereleonard Non l’histoire du racisme n’aurait jamais dû exister déjà.Cette sortie dans la presse à signé la fin du lien entre les https://t.co/W98hCVAdKX ou tu appelles ça trahison je dirais maladresse,bêtise,erreur de communication.C ça qu’il continue à payer aujourd’hui."
104,N,998296549770842113,"Evry (91) : harcèlement scolaire au collège Galilée, « mon fils, qui est un petit blondinet, a été victime de racisme » https://t.co/q8bmENRub3 via @f_desouche"
105,N,997799477271519232,"""Français de m… de"", ""négros"", ""sale arabe"" : le bus transportant les footballeurs du HAC pris à partie par des supporters corses https://t.co/M3rxupVfzT via @franceinfo"
106,N,997904517457960960,"chers amis blancs,
sachez que le racisme qui alimente nos sociétés diverses et plus largement notre monde, sous couvert de laïcité et de remarques simplistes et vides de sens, ne peut etre réfuté indéfiniment."
107,N,998168679748722688,"#Premium #France 386 Reviews: Apple Iphone Smartphone Débloqué Ecran Pouces  Rose for EUR 539,00. Best Sale Ranking on Amazon! [https://t.co/Hm3v0HOCu0] https://t.co/qU4JmF2ydE"
108,N,998300979912237057,"Tu imagine, plein de gens là traitent de mytho, alors que TOUS les noirs que je connais qui sont allés au Maghreb m'ont tous dit la même chose. Y a même des maghrébins qui le disent. Y a peut-etre moins de racistes la bas par rap à ici, mais ici au pire on parle sur ton dos https://t.co/tbLKaaS8xU"
109,,998568476385185792,@ZePaivas @Shalkarac @PierreMenes @gabinettu @LFPfr Mes sa pue la corse y’a des seringue sur les plage c est sale comme bled mdrrrr https://t.co/sv5SkFGEQC
110,,8,"Il est temps, amis patriotes, de montrer que nous sommes capables de faire couler du sang. Kidnappons une voilée dans la rue et coupons lui la tête devant son mari et ses 19 enfants."
111,N,998214080732258304,"@SorelCamille @_Sabobine_ @Fxckin_Apple @Math_omane Et vu la couleur de l'eau il avait BIEN BESOIN qu'on l'empêche d'avaler un sale truc, l'eau est meilleure pour les chats que la terre aux dernières nouvelles"
112,N,998360857997398016,"@MetairieJacques @JNR_OL @Brevesdepresse Comment qualifier tous ces internautes tenant des propos nauséabond? Quand c'est pas raciste, ça sous-entend beaucoup de choses.  Donc oui c'est des fachos. Pas ceux du fascisme des années 1930... mais ça en est quand même"
113,N,998552888363405312,"@oduks93 @Karlito_W @jplusun @SportAvecCanal Mdr le mec qui donne des leçons 😂

Voir du racisme là-dedans prouve juste à quel point ta vie doit être bien triste."
114,N,998153055584555008,"Emmanuel Macron c'est FINI et Phillipe aussi 

L'Elysee ne defend plus les droits de l'homme

#LREM ils savent juste voler taxer les petites gens et les bourgeois

#LaurentWauquiez #lesRepublicains #CGT #SNCF #AirFrance #TF1 #M6 #CNN #FoxNews

https://t.co/CInSRMMQ8O"
115,N,998281674235564032,"@Guibrush_ @sky2styles @achabus @manuelvalls Ben oui, rien d'étonnant, j'ai connu le personnage il y a une trentaine d'années à SOS racisme. A l'époque, sa principale préoccupation était de jouer le porte-flingue de Julien Dray..."
116,N,998214218661945345,"#Premium #France 386 Reviews: Apple Iphone Smartphone Débloqué Ecran Pouces  Rose for EUR 539,00. Best Sale Ranking on Amazon! [https://t.co/kEb5bNfIlD] https://t.co/bteBL5kzmM"
117,,997821286020780033,"Pardon mes les babtou qui tweet ""ouais épouser nous là putain"" apprenez à faire autres choses que des pâtes aux beurre après ont passe au négociation"
118,,998111779808071680,"Voir des beaufs se vautrer sur la pelouse à côté d'un édifice religieux n'est pas une réussite. De toute façon, ce quartier est pollué par la racaille des Halles https://t.co/4EFX9wyVEp"
119,H,998209943147810817,Par contre éclate ta bulle sale porte monnaie sur pattes. Faudra ouvrir ta gueule pareil quand Neymar aura signe au real https://t.co/eqpITgNYke
120,N,997911883964350464,"@Cdanslair @France5tv @Bruce_Toussaint @moutet @OlivierRoyant Si épouser une mulâtre ça fait jeune alors ? vous êtes pitoyable ! Et personnellement, comme Édouard VIII et le prince Charles (accessoirement Diana), Harry n'a rien compris aux devoirs de la noblesse !"
121,N,998281810164506624,@habanaclub18 Ils se sentent en confiance t'as partagé un verre avec lui donc ça y'est...«toi t'es pas comme les autres hein pis je suis pas.raciste ma.femme parle la bougnoulie gnark gnark». rah la la ces nostalgiques de l'Algérie française...Ils s'en sont toujours pas remis...
